gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
PDE4B,-1.4242392028835507,7.219901186215334,-7.493315546957369,2.435555418653705e-12,1.2177777093268525e-09,17.62903660040928
MS4A4A,2.971447285009487,7.992110264173311,7.181886067864482,1.4943585731076078e-11,2.991343936639516e-09,15.875326492968291
HLADRA,-2.0075143629220267,10.545972241400252,-7.150038256406736,1.7948063619837097e-11,2.991343936639516e-09,15.698331240201185
GAPDH,1.3471764159420854,12.69361125330494,7.041320124980128,3.34322288001672e-11,4.1790286000209e-09,15.09752018055105
HLA.DMB,-1.9373326849579784,8.189155291271456,-6.797108425865905,1.3260610759593496e-10,1.3260610759593496e-08,13.76762896407266
BTN2A2,-1.922234160130696,5.017444693148862,-6.226635913082351,2.964440980292538e-09,2.3656182088144936e-07,10.774624973471163
IFIT1,-5.340272053722619,8.468189600314338,-6.205711842749246,3.311865492340291e-09,2.3656182088144936e-07,10.66804974237456
IFIT5,-2.5712958005797004,8.79532398881349,-6.165788488201956,4.089088810957112e-09,2.49937634592404e-07,10.465358749590756
PLEKHO1,-1.3667510186961287,8.632474002895663,-6.147648676093938,4.498877422663272e-09,2.49937634592404e-07,10.37354862909605
XAF1,-3.283414374729551,7.4262916421193825,-6.014882149378349,9.002156345167015e-09,4.5010781725835073e-07,9.707087110314838
EPSTI1,-2.733548752727427,9.960668157194712,-5.9302780475300745,1.393593416690113e-08,6.334515530409604e-07,9.28751886177194
RTP4,-3.124990893227867,7.170294676086557,-5.877297744675634,1.8285606126481692e-08,7.619002552700705e-07,9.026846271385217
LY86,-1.5120448471400532,7.940446329100702,-5.75379364967132,3.4234350370474046e-08,1.222655370374073e-06,8.425465385019315
IFI44L,-4.141690008085442,10.20039668957973,-5.654573631113839,5.6302144618566406e-08,1.8767381539522137e-06,7.948807462615206
HK3,1.6715002845985063,10.060198711448633,5.541009445749637,9.880352492619664e-08,3.0876101539436453e-06,7.410464401511837
OAS1,-2.9415293159107576,9.320940468274346,-5.481417281054909,1.323174973184438e-07,3.891691097601288e-06,7.131106719932126
S100A12,2.8321169652292904,13.67606366791004,5.453864996855901,1.5133958607911302e-07,4.203877391086473e-06,7.0026843374516945
TIMP1,1.200704935266257,9.879113410464802,5.330205441137276,2.749927740031931e-07,6.874819350079828e-06,6.4321181067871445
HSH2D,-1.6871750713002192,8.252969783322612,-5.259606850099935,3.8510536767132593e-07,9.169175420745856e-06,6.110695018973387
BPI,2.6172154521429145,7.220986800134108,5.226664880003289,4.501606789553174e-07,1.023092452171176e-05,5.961803846485762
