rank,gene,importance,logFC,P.Value,adj.P.Val,direction
1,OAS1,0.06750694641750903,-2.9415293159107576,1.323174973184438e-07,3.891691097601288e-06,Downregulated
2,HSH2D,0.06419677723391054,-1.6871750713002192,3.8510536767132593e-07,9.169175420745856e-06,Downregulated
3,IFIH1,0.05596851053306805,-2.1344252790886222,5.72896951873784e-07,1.1799910517120713e-05,Downregulated
4,IFIT5,0.04651849192352266,-2.5712958005797004,4.089088810957112e-09,2.49937634592404e-07,Downregulated
5,IFI44L,0.03760543456120037,-4.141690008085442,5.6302144618566406e-08,1.8767381539522137e-06,Downregulated
6,GAPDH,0.035958840534946884,1.3471764159420854,3.34322288001672e-11,4.1790286000209e-09,Upregulated
7,MMP9,0.03322994315510417,2.6626713468984837,3.4837611541966886e-06,4.3547014427458606e-05,Upregulated
8,RTP4,0.031858137372208245,-3.124990893227867,1.8285606126481692e-08,7.619002552700705e-07,Downregulated
9,HERC5,0.028602474212965155,-2.5910115691335234,0.00012249188760395357,0.0007561227629873678,Downregulated
10,OAS3,0.02590559220673264,-2.4730692242635883,0.00019873677379763022,0.00111649872920017,Downregulated
11,S100A12,0.024069617962212193,2.8321169652292904,1.5133958607911302e-07,4.203877391086473e-06,Upregulated
12,MS4A4A,0.02296365255242835,2.971447285009487,1.4943585731076078e-11,2.991343936639516e-09,Upregulated
13,XAF1,0.021952088846743937,-3.283414374729551,9.002156345167015e-09,4.5010781725835073e-07,Downregulated
14,IFIT3,0.020748370587744695,-3.415757230847907,1.090430342663669e-06,1.7336583092007988e-05,Downregulated
15,SAMD9,0.019679349992439334,-1.585819350453397,1.2731476525466628e-06,1.929011594767671e-05,Downregulated
16,DDX58,0.018331062460192817,-1.755219011886663,4.760721253018629e-05,0.00036173952949355884,Downregulated
17,PDE4B,0.017974884152619316,-1.4242392028835507,2.435555418653705e-12,1.2177777093268525e-09,Downregulated
18,FURIN,0.01684464164565445,1.0801035079091235,0.00011757150370169384,0.0007348218981355865,Upregulated
19,IFI44,0.016740327123314927,-2.57528377170892,1.7868176995137736e-05,0.00016243797268307035,Downregulated
20,IFIT2,0.016510073190859318,-3.348251020128849,2.0844974281153643e-06,2.895135316826895e-05,Downregulated
